date,fr_value,us_value,diff
2024-11-17,65.01278813554703,41.53885718122214,23.473930954324885
2024-11-24,49.7174002795708,36.76991313776641,12.947487141804388
2024-12-01,57.604087072368266,34.58827197186317,23.01581510050509
2024-12-08,58.51490051441211,37.83254442057345,20.682356093838663
2024-12-15,50.87404397732988,27.818642512196035,23.055401465133848
2024-12-22,57.68487015758016,34.918539914987555,22.76633024259261
2024-12-29,59.1063554624413,37.707427028775165,21.398928433666136
2025-01-05,68.58248987616078,49.14751663806656,19.434973238094216
2025-01-12,55.70695363436956,36.45051955927335,19.25643407509621
2025-01-19,60.39386111722182,39.92831583857716,20.46554527864466
2025-01-26,59.234475542721405,36.947534469123525,22.28694107359788
2025-02-02,51.94446346616845,32.27284879674636,19.67161466942209
2025-02-09,61.17352452774052,43.31927469800903,17.854249829731486
2025-02-16,62.76432657430411,41.4273818957758,21.336944678528305
2025-02-23,62.64505202035439,41.29418846602515,21.35086355432924
2025-03-02,56.82351332350178,37.60270452315107,19.22080880035071
2025-03-09,66.05592832202458,45.58606242914216,20.469865892882424
2025-03-16,55.34273174625717,37.47433802340927,17.868393722847905
2025-03-23,65.63519285310899,41.42231362268488,24.212879230424107
2025-03-30,71.90777285881461,48.42979831787622,23.47797454093839
2025-04-06,55.24488492273371,33.98718036710562,21.257704555628088
2025-04-13,56.03378425537496,37.31619625118505,18.717588004189917
2025-04-20,59.78976061684044,39.58862700153675,20.20113361530369
2025-04-27,61.90932456483458,39.74846856686447,22.16085599797011
2025-05-04,55.62298398339204,35.6160045019232,20.00697948146884
2025-05-11,61.66239763173779,47.24050074880056,14.421896882937231
2025-05-18,58.86803886457038,37.98167789767928,20.886360966891097
2025-05-25,64.38777191811852,48.11697015326369,16.270801764854824
2025-06-01,60.12339201384549,38.85244967488646,21.27094233895903
2025-06-08,71.90671669367288,49.38068011189674,22.52603658177614
2025-06-15,59.73349578302357,38.07324259646802,21.66025318655555
2025-06-22,61.92581823448629,40.72369156234048,21.202126672145816
2025-06-29,68.35407786109265,48.67680372907331,19.67727413201933
2025-07-06,62.57176207018813,36.687968838193314,25.88379323199481
2025-07-13,67.2991511452704,43.510901408118094,23.788249737152302
2025-07-20,69.64343478803448,49.89975485721602,19.743679930818463
2025-07-27,56.651641142272176,41.48233471452781,15.169306427744369
2025-08-03,59.44781418030958,44.539661108855874,14.908153071453704
2025-08-10,65.19882397511928,47.8992890115755,17.299534963543785
2025-08-17,71.15806623718167,50.298766328198326,20.859299908983346
2025-08-24,60.77662480078585,38.383985512294025,22.39263928849182
2025-08-31,61.629061908416055,39.70415508773514,21.92490682068092
2025-09-07,68.10906612901495,49.94061136867787,18.16845476033708
2025-09-14,71.19430188877514,45.754000524729534,25.44030136404561
2025-09-21,70.91379989168666,45.849940100591326,25.06385979109534
2025-09-28,70.75594887117995,50.40282686335625,20.3531220078237
2025-10-05,67.40045300018316,45.785702754853965,21.6147502453292
2025-10-12,69.7664287035676,46.24790457905448,23.51852412451312
2025-10-19,68.63061887063857,49.98574231992299,18.64487655071558
2025-10-26,65.66878638337916,43.73637188756724,21.93241449581192
2025-11-02,78.25312999845761,58.415841597508944,19.837288400948665
2025-11-09,71.33539916524603,50.82041502353216,20.514984141713867
2025-11-16,70.25643065891266,44.402279604624525,25.85415105428814
